Supplier_Name,Total_Volume_Supplied,Avg_Volume_Per_SKU_Record,Catalog_SKU_Breadth,Mean_Logistical_Friction,Global_Supply_Contribution_%
CELICAR LLC DBA TWIN VALLEY DISTILLERS,13.596250000000001,1.5106944444444446,4,0.31901649548708366,0.01
FRONT PORCH MICRO WINERY LLC,13.299999999999999,0.8312499999999999,11,1.4597039473684212,0.01
NICKOLAS IMPORTS LLC,13.23,0.7782352941176471,13,0.9191176470588235,0.01
COMETE WINES LLC,13.17,1.1972727272727273,9,0.0,0.01
REGAL WINE IMPORTS INC,13.0,2.1666666666666665,5,0.0,0.01
STELLAR IMPORTING CO LLC,11.16,1.395,4,1.5829917151547752,0.01
FN CELLARS LLC,11.08,0.7914285714285715,7,0.5085236639724818,0.01
AZABU DISTILLING CO LLC,10.57,1.1744444444444444,4,2.9044908823196285,0.01
VINTAGE POINT LLC,10.24,2.048,2,0.0,0.01
TI BEVERAGE GROUP LTD,10.06,1.2575,4,1.5625,0.01
MEXCOR INTERNATIONAL,9.83625,4.918125,1,1.482213438735178,0.01
VINTURE WINE COMPANY LLC,8.0,1.6,3,0.0,0.0
TENTH HARVEST LLC,7.82,0.8688888888888889,9,0.0,0.0
ATLANTIC WINE & SPIRITS,7.32,3.66,1,0.0,0.0
CHARLES JACQUIN ET CIE INC,7.31,2.4366666666666665,2,1.25,0.0
FRUIT OF THE VINES INC,7.19,1.7975,3,0.1838235294117647,0.0
ADAMBA IMPORTS INTL,7.07,3.535,1,1.0108271790514782,0.0
EVEREST SPIRITS LLC,7.03,1.1716666666666666,2,0.6944444444444445,0.0
SOKOL BLOSSER LTD,6.84,0.9771428571428571,3,3.857142857142857,0.0
SUGARLOAF MOUNTAIN SUNLIGHT VINEYARD LLC,6.5600000000000005,0.9371428571428572,4,0.0,0.0
CHASSEUR WINE LLC,6.0,1.0,5,0.0,0.0
SAWM IMPORTS LLC,5.3100000000000005,1.3275000000000001,4,0.0,0.0
ZURENA LLC,4.5,1.5,1,0.0,0.0
FOWLES WINE USA INC,4.34,1.085,3,0.0,0.0
AMERICAN FIDELITY TRADING,4.0,1.3333333333333333,3,0.0,0.0
CROOK & MARKER LLC,4.0,1.3333333333333333,3,0.0,0.0
LEGACY PARTNERS DISTRIBUTION LLC,3.06,0.43714285714285717,4,0.0,0.0
SIDNEY-FRANK IMPORTING CO,2.85,0.7125,1,1.9656377402446126,0.0
VINTUS LLC,2.77,0.9233333333333333,1,3.9225012683916796,0.0
OCEAN CITY BREWING CO LLC,2.08,0.3466666666666667,4,0.0,0.0
WILLIAM HARRISON IMPORTS,2.0300000000000002,0.6766666666666667,1,0.0,0.0
WILLIAMS CORNER WINE,2.0,1.0,2,0.0,0.0
RSL HOLDINGS INC,2.0,2.0,1,0.0,0.0
SUGARLOAF MOUNTAIN VINEYARD LLC,1.6,0.8,1,0.0,0.0
MESOZOIC TECHNOLOGIES LLC,1.57,0.314,3,0.0,0.0
REPUBLIC RESTORATIVES,1.36,0.34,1,0.0,0.0
GROTH VINEYARDS & WINERY,1.24,0.41333333333333333,2,0.0,0.0
AIKO IMPORTERS INC,1.08,0.54,2,0.0,0.0
BREWDOG BREWING COMPANY LLC,1.0,1.0,1,0.0,0.0
MARQUEE SELECTIONS LLC,1.0,1.0,1,0.0,0.0
ALLIED IMPORTERS USA LTD,1.0,0.5,2,0.0,0.0
Z WINE GALLERY IMPORTS LLC,0.98,0.98,1,0.0,0.0
SNR HOLDINGS LLC,0.64,0.64,1,0.0,0.0
"GF WINES, LLC DBA GARY FARRELL WINERY",0.64,0.32,2,4.166666666666667,0.0
SMT AQUISITIONS LLC,0.5700000000000001,0.19000000000000003,2,0.0,0.0
THE SANDY BOTTOM ENTERPRISES LLC,0.53,0.53,1,5.660377358490566,0.0
SPLINTER GROUP NAPA LLC,0.51,0.17,2,0.0,0.0
SCHMITT SOHNE INC,0.5,0.16666666666666666,1,0.0,0.0
NOVELTY MD INC,0.44999999999999996,0.22499999999999998,1,0.0,0.0
FAR NIENTE WINERY INC,0.34,0.17,1,0.0,0.0
FLAVOR SEEKERS LLC,0.33,0.11,1,0.0,0.0
LOOK VODKA LLC,0.32,0.32,1,0.0,0.0
DANGEROUS WINE GROUP LLC,0.32,0.16,1,0.0,0.0
VINIFERA DISTRIBUTING OF MARYLAND INC,0.08,0.08,1,0.0,0.0
SMITH-ANDERSON ENTERPRISES INC,0.08,0.08,1,0.0,0.0
SCOPERTA IMPORTING COMPANY INC,0.08,0.08,1,0.0,0.0
SANGLIER SELECTIONS LLC,0.0,0.0,1,0.0,0.0
PREMIUM DISTRIBUTORS INC,0.0,0.0,1,0.0,0.0
HAMCO DC,0.0,0.0,1,0.0,0.0
KAHN PAPER COMPANY INC,0.0,0.0,5,0.0,0.0
